id,country,male,female,all,year
1,AUS,1,0,1,1896
1,AUT,3,0,3,1896
1,BUL,1,0,1,1896
1,DEN,3,0,3,1896
1,FRA,12,0,12,1896
1,GBR,10,0,10,1896
1,GER,19,0,19,1896
1,GRE,102,0,102,1896
1,HUN,7,0,7,1896
1,ITA,1,0,1,1896
1,SUI,2,0,2,1896
1,SWE,1,0,1,1896
1,USA,14,0,14,1896
2,ARG,1,0,1,1900
2,AUS,1,0,1,1900
2,AUT,15,0,15,1900
2,BEL,67,0,67,1900
2,BOH,6,1,7,1900
2,CUB,1,0,1,1900
2,DEN,13,0,13,1900
2,ESP,9,0,9,1900
2,FRA,742,15,757,1900
2,GBR,95,1,96,1900
2,GER,76,0,76,1900
2,GRE,2,0,2,1900
2,HAI,2,0,2,1900
2,HUN,19,0,19,1900
2,IND,1,0,1,1900
2,IRI,1,0,1,1900
2,ITA,22,1,23,1900
2,MEX,3,0,3,1900
2,NED,34,0,34,1900
2,NOR,7,0,7,1900
2,PER,1,0,1,1900
2,ROU,1,0,1,1900
2,RUS,4,0,4,1900
2,SUI,17,2,19,1900
2,SWE,10,0,10,1900
2,UNK,1,0,1,1900
2,USA,66,4,70,1900
3,AUS,1,0,1,1904
3,CAN,54,0,54,1904
3,CUB,3,0,3,1904
3,GBR,4,0,4,1904
3,GER,18,0,18,1904
3,GRE,14,0,14,1904
3,HUN,4,0,4,1904
3,ITA,1,0,1,1904
3,RSA,8,0,8,1904
3,USA,537,6,543,1904
4,AUS,4,0,4,1908
4,AUT,31,0,31,1908
4,BEL,17,0,17,1908
4,BOH,13,0,13,1908
4,CAN,3,0,3,1908
4,CRT,8,0,8,1908
4,DEN,49,0,49,1908
4,EGY,2,0,2,1908
4,FIN,4,0,4,1908
4,FRA,53,1,54,1908
4,GBR,40,0,40,1908
4,GER,49,0,49,1908
4,GRE,318,5,323,1908
4,HUN,35,0,35,1908
4,ITA,76,0,76,1908
4,NED,16,0,16,1908
4,NOR,32,0,32,1908
4,SUI,9,0,9,1908
4,SWE,39,0,39,1908
4,TUR,1,0,1,1908
4,USA,38,0,38,1908
6,ANZ,23,2,25,1912
6,AUT,79,6,85,1912
6,BEL,34,1,35,1912
6,BOH,43,0,43,1912
6,CAN,37,0,37,1912
6,CHI,14,0,14,1912
6,DEN,151,1,152,1912
6,FIN,162,2,164,1912
6,FRA,119,1,120,1912
6,GBR,263,0,263,1912
6,GER,180,5,185,1912
6,GRE,22,0,22,1912
6,HUN,119,0,119,1912
6,ISL,2,0,2,1912
6,ITA,66,0,66,1912
6,JPN,2,0,2,1912
6,LUX,21,0,21,1912
6,NED,33,0,33,1912
6,NOR,188,2,190,1912
6,POL,1,0,1,1912
6,POR,6,0,6,1912
6,RSA,21,0,21,1912
6,RUS,159,0,159,1912
6,SRB,2,0,2,1912
6,SUI,8,0,8,1912
6,SWE,422,23,445,1912
6,TUR,2,0,2,1912
6,UNK,2,0,2,1912
6,USA,174,0,174,1912
7,ARG,1,0,1,1920
7,AUS,12,1,13,1920
7,BEL,328,10,338,1920
7,BRA,19,0,19,1920
7,CAN,55,0,55,1920
7,CHI,2,0,2,1920
7,DEN,150,4,154,1920
7,EGY,18,0,18,1920
7,ESP,58,0,58,1920
7,EST,14,0,14,1920
7,FIN,62,1,63,1920
7,FRA,291,8,299,1920
7,GBR,219,16,235,1920
7,GRE,47,0,47,1920
7,IND,5,0,5,1920
7,ITA,173,1,174,1920
7,JPN,15,0,15,1920
7,LUX,25,0,25,1920
7,MON,4,0,4,1920
7,NED,129,1,130,1920
7,NOR,188,6,194,1920
7,NZL,3,1,4,1920
7,POR,13,0,13,1920
7,RSA,38,1,39,1920
7,SUI,79,0,79,1920
7,SWE,247,13,260,1920
7,TCH,118,1,119,1920
7,USA,274,14,288,1920
7,YUG,15,0,15,1920
8,ARG,77,0,77,1924
8,AUS,35,1,36,1924
8,AUT,46,3,49,1924
8,BEL,166,7,173,1924
8,BRA,12,0,12,1924
8,BUL,24,0,24,1924
8,CAN,65,0,65,1924
8,CHI,13,0,13,1924
8,CUB,9,0,9,1924
8,DEN,77,12,89,1924
8,ECU,3,0,3,1924
8,EGY,24,0,24,1924
8,ESP,93,2,95,1924
8,EST,37,0,37,1924
8,FIN,121,0,121,1924
8,FRA,368,32,400,1924
8,GBR,239,28,267,1924
8,GRE,38,1,39,1924
8,HAI,8,0,8,1924
8,HUN,86,3,89,1924
8,IND,12,1,13,1924
8,IRL,46,2,48,1924
8,ITA,196,4,200,1924
8,JPN,19,0,19,1924
8,LAT,36,0,36,1924
8,LTU,13,0,13,1924
8,LUX,46,2,48,1924
8,MEX,15,0,15,1924
8,MON,7,0,7,1924
8,NED,169,9,178,1924
8,NOR,60,2,62,1924
8,NZL,3,1,4,1924
8,PHI,1,0,1,1924
8,POL,64,1,65,1924
8,POR,28,0,28,1924
8,ROU,35,0,35,1924
8,RSA,30,0,30,1924
8,RUS,2,1,3,1924
8,SUI,136,5,141,1924
8,SWE,146,13,159,1924
8,TCH,129,4,133,1924
8,TUR,22,0,22,1924
8,URU,26,0,26,1924
8,USA,275,24,299,1924
8,YUG,42,0,42,1924
9,ARG,81,0,81,1928
9,AUS,14,4,18,1928
9,AUT,67,6,73,1928
9,BEL,175,12,187,1928
9,BUL,5,0,5,1928
9,CAN,61,7,68,1928
9,CHI,38,0,38,1928
9,CUB,1,0,1,1928
9,DEN,82,9,91,1928
9,EGY,32,0,32,1928
9,ESP,80,0,80,1928
9,EST,20,0,20,1928
9,FIN,67,2,69,1928
9,FRA,257,37,294,1928
9,GBR,201,31,232,1928
9,GER,263,35,298,1928
9,GRE,23,0,23,1928
9,HAI,2,0,2,1928
9,HUN,93,16,109,1928
9,IND,21,0,21,1928
9,IRL,33,5,38,1928
9,ITA,156,18,174,1928
9,JPN,39,1,40,1928
9,LAT,15,2,17,1928
9,LTU,11,1,12,1928
9,LUX,46,2,48,1928
9,MEX,30,0,30,1928
9,MLT,9,0,9,1928
9,MON,10,0,10,1928
9,NED,222,44,266,1928
9,NOR,52,0,52,1928
9,NZL,6,3,9,1928
9,PAN,1,0,1,1928
9,PHI,4,0,4,1928
9,POL,88,12,100,1928
9,POR,32,0,32,1928
9,ROU,19,2,21,1928
9,RSA,18,6,24,1928
9,SUI,132,1,133,1928
9,SWE,87,13,100,1928
9,TCH,68,1,69,1928
9,TUR,31,0,31,1928
9,URU,17,0,17,1928
9,USA,237,44,281,1928
9,YUG,34,0,34,1928
9,ZIM,2,0,2,1928
10,ARG,33,0,33,1932
10,AUS,8,4,12,1932
10,AUT,16,2,18,1932
10,BEL,29,7,36,1932
10,BRA,58,1,59,1932
10,BUL,2,0,2,1932
10,CAN,85,17,102,1932
10,CHN,1,0,1,1932
10,COL,2,0,2,1932
10,CUB,3,0,3,1932
10,DEN,35,8,43,1932
10,ESA,1,0,1,1932
10,ESP,7,0,7,1932
10,EST,2,0,2,1932
10,FIN,40,0,40,1932
10,FRA,97,6,103,1932
10,GBR,92,17,109,1932
10,GER,137,9,146,1932
10,GRE,10,0,10,1932
10,GUA,0,1,1,1932
10,HAI,3,0,3,1932
10,HUN,56,2,58,1932
10,IND,19,0,19,1932
10,IRL,14,2,16,1932
10,ITA,112,0,112,1932
10,JPN,140,17,157,1932
10,LAT,5,0,5,1932
10,LUX,3,0,3,1932
