country,sum,sumWomen,sumMen,percentWomen,category
AFG,126,6,120,4.761904761904762,0
AHO,65,10,55,15.384615384615385,10
ALB,65,24,41,36.92307692307693,30
ALG,522,97,425,18.582375478927204,10
AND,54,14,40,25.925925925925924,20
ANG,262,133,129,50.76335877862596,50
ANT,96,27,69,28.125,20
ANZ,25,2,23,8,0
ARG,2465,457,2008,18.539553752535497,10
ARM,172,22,150,12.790697674418606,10
ARU,41,14,27,34.146341463414636,30
ASA,41,8,33,19.51219512195122,10
AUS,5609,1995,3614,35.56783740417187,30
AUT,2054,445,1609,21.66504381694255,20
AZE,286,73,213,25.524475524475527,20
BAH,297,77,220,25.925925925925924,20
BAN,49,14,35,28.57142857142857,20
BAR,157,30,127,19.10828025477707,10
BDI,44,17,27,38.63636363636363,30
BEL,2636,414,2222,15.705614567526554,10
BEN,71,16,55,22.535211267605636,20
BER,163,34,129,20.858895705521473,20
BHU,31,16,15,51.61290322580645,50
BIH,66,20,46,30.303030303030305,30
BIZ,65,10,55,15.384615384615385,10
BLR,1007,482,525,47.86494538232373,40
BOH,63,1,62,1.5873015873015872,0
BOL,102,27,75,26.47058823529412,20
BOT,93,12,81,12.903225806451612,10
BRA,3287,1033,2254,31.426832978399755,30
BRN,137,36,101,26.277372262773724,20
BRU,12,2,10,16.666666666666664,10
BUL,1827,545,1282,29.830322933771207,20
BUR,48,16,32,33.33333333333333,30
CAF,63,16,47,25.396825396825395,20
CAM,54,17,37,31.48148148148148,30
CAN,4922,1834,3088,37.261275904104025,30
CAY,63,13,50,20.634920634920633,20
CGO,94,35,59,37.234042553191486,30
CHA,40,10,30,25,20
CHI,643,108,535,16.796267496111973,10
CHN,3544,1978,1566,55.81264108352144,50
CIV,192,55,137,28.645833333333332,20
CMR,279,87,192,31.182795698924732,30
COD,84,26,58,30.952380952380953,30
COK,44,18,26,40.909090909090914,40
COL,886,245,641,27.65237020316027,20
COM,22,9,13,40.909090909090914,40
CPV,24,12,12,50,40
CRC,199,44,155,22.110552763819097,20
CRO,643,153,490,23.79471228615863,20
CRT,8,0,8,0,NA
CUB,1940,510,1430,26.288659793814436,20
CYP,169,48,121,28.402366863905325,20
CZE,856,339,517,39.60280373831775,30
DEN,2488,510,1978,20.4983922829582,20
DJI,41,6,35,14.634146341463413,10
DMA,20,8,12,40,30
DOM,317,88,229,27.760252365930597,20
ECU,263,88,175,33.460076045627375,30
EGY,1393,188,1205,13.49605168700646,10
EOR,39,14,25,35.8974358974359,30
ERI,54,11,43,20.37037037037037,20
ESA,149,39,110,26.174496644295303,20
ESP,4000,1062,2938,26.55,20
EST,419,79,340,18.85441527446301,10
ETH,347,106,241,30.547550432276655,30
EUN,475,165,310,34.73684210526316,30
FIJ,199,60,139,30.15075376884422,30
FIN,2242,327,1915,14.585191793041927,10
FRA,7259,1517,5742,20.898195343711254,20
FRG,1727,409,1318,23.68268674001158,20
FSM,29,12,17,41.37931034482759,40
